AffairShortId,AffairTitle,VoteDate,VoteMeaningYes,VoteMeaningNo
20120057,Développement de l’acquis de Schengen. Reprise du règlement portant création d’une agence pour des systèmes d‘information,Sep 27 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Nidegger (Nichteintreten)
20120057,Développement de l’acquis de Schengen. Reprise du règlement portant création d’une agence pour des systèmes d‘information,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20120057,Développement de l’acquis de Schengen. Reprise du règlement portant création d’une agence pour des systèmes d‘information,Sep 27 2016,Annahme der Vorlage,Ablehnung der Vorlage
20120080,Loi sur les produits thérapeutiques. Révision,Dec 08 2015,Antrag der Mehrheit,Antrag der Minderheit Cassis
20120080,Loi sur les produits thérapeutiques. Révision,Mar 18 2016,Annahme der Vorlage,Ablehnung der Vorlage
20120080,Loi sur les produits thérapeutiques. Révision,Dec 08 2015,Antrag der Mehrheit,Antrag der Minderheit Carobbio Guscetti
20120080,Loi sur les produits thérapeutiques. Révision,Dec 08 2015,Antrag der Kommission,Antrag Glättli
20120300,Accord de libre-échange dans le secteur agroalimentaire. Rupture,Dec 17 2015,Antrag der Mehrheit (= Folge geben),Antrag der Minderheit Germanier/Bertschy (= keine Folge geben)
20120308,L'ouverture de nouveaux cabinets médicaux,Apr 27 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Carobbio Guscetti (Folge geben)
20120413,Les citoyens ne doivent pas être nommés curateurs contre leur gré,Sep 29 2017,Annahme der Vorlage,Ablehnung der Vorlage
20120413,Les citoyens ne doivent pas être nommés curateurs contre leur gré,May 03 2017,Annahme der Vorlage,Ablehnung der Vorlage
20120414,Les paramètres techniques n'ont pas leur place dans la LPP,Jun 11 2018,Proposition de la majorité (donner suite),Proposition de la minorité Heim (ne pas donner suite)
20120470,Meilleur soutien pour les enfants gravement malades ou lourdement handicapés qui sont soignés à la maison,Dec 08 2016,Adopter le projet,Rejeter le projet
20120470,Meilleur soutien pour les enfants gravement malades ou lourdement handicapés qui sont soignés à la maison,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20120470,Meilleur soutien pour les enfants gravement malades ou lourdement handicapés qui sont soignés à la maison,Dec 08 2016,Proposition de la majorité,Proposition de la minorité Schmid-Federer
20120483,Créer un FAIR (financement et aménagement de l'infrastructure routière),May 03 2017,Antrag der Kommission (keine Folge geben),Antrag des Initianten (Folge geben)
20120501,Adaptation de la LFINMA pour promouvoir la réputation et la compétitivité de la place financière,Dec 01 2015,Antrag der Kommission (keine Folge geben),Antrag des Initanten (Folge geben)
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 03 2016,Antrag der Mehrheit,Antrag der Minderheit Geissbühler
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 16 2016,Zustimmung zum Antrag der Einigungskonferenz ,Zustimmung zum Einzelantrag Grüter (Ablehnung des Antrages der Einigungskonferenz)
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 03 2016,,
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 03 2016,Antrag der Mehrheit,Antrag der MinderheitGeissbühler
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 03 2016,Antrag der Mehrheit,Antrag der Minderheit Vogler
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 18 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,Mar 14 2016,Antrag der Mehrheit,Antrag der Minderheit Grüter
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit I Nidegger
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit II Nidegger
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit III Nidegger
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Burgherr
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit (aufgehoben),Antrag der Minderheit Barrile (gemäss geltendem Recht)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,"Antrag der Minderheit Glarner (steichen, gemäss geltendem Recht)"
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Kommission,Antrag Barrile (streichen)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Glättli (streichen)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Steinemann (streichen)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Rutz Gregor (aufheben)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit ,Antrag der Minderheit I Moser (=Bundesrat)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Pantani
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Steinemann
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit I Steinemann
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Minderheit I Moser (=Bundesrat),Antrag der Minderheit III Glarner
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit (gemäss SR),Antrag der Minderheit Barrile (gemäss BR)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit Moret
20130030,Loi sur les étrangers. Modification. Intégration,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130030,Loi sur les étrangers. Modification. Intégration,Dec 12 2016,Antrag der Mehrheit,Antrag der Minderheit Glarner
20130030,Loi sur les étrangers. Modification. Intégration,Dec 12 2016,Antrag der Mehrheit,Antrag der Minderheit Glättli
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit (Ablehnung der Vorlage),Antrag der Minderheit Jauslin (Annahme der Vorlage)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit I Glarner
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit (streichen),Antrag der Minderheit Romano (gemäss SR/BR)
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,"Antrag der Minderheit Rutz Gregor (streichen, gemäss geltendem Recht)"
20130030,Loi sur les étrangers. Modification. Intégration,Sep 14 2016,Antrag der Mehrheit,Antrag der Minderheit II Glarner (streichen)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Bäumle
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit II Nussbaumer
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Kommission,Antrag Knecht
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Knecht
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag Grossen Jürg
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der MinderheitJans
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Wasserfallen
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit I Wasserfallen
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit (festhalten),Antrag der Minderheit Wasserfallen (gemäss SR/BR)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit (festhalten),Antrag der Minderheit Fässler (gemäss BR)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 18 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Nordmann
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Grunder
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit II Jans
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Badran Jacqueline
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag Grüter
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit (gemäss SR),"Antrag der Minderheit Girod (festhalten, gemäss BR)"
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Zustimmung zum Ordnungsantrag,Ablehnung des Ordnungsantrages
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Schilliger
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,"Antrag der Mehrheit (festhalten, streichen)",Antrag der Minderheit Fässler (gemäss SR/BR)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit (festhalten),"Antrag der Minderheit Fässler (gemäss SR, streichen)"
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,"Antrag der Mehrheit (gemäss SR, streichen)",Antrag der Minderheit Nussbaumer 
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit,Antrag der Minderheit Imark (streichen)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit (gemäss SR),Antrag der Minderheit Jans (festhalten)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Kommission,Antrag Guhl
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit,Antrag der Minderheit II Knecht
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Kommission,Antrag Schiliiger
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit (gemäss BR),Antrag der Minderheit Schilliger (gemäss SR)
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Chopard-Acklin/Badran
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Minderheit I Wasserfallen,Antrag der Minderheit II Grunder
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit ,Antrag der Minderheit I Wasserfallen
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Mar 02 2016,Antrag der Mehrheit,Antrag der Minderheit Semadeni
20130074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",Sep 12 2016,Antrag der Mehrheit,Antrag der Minderheit I Fässler
20130075,Loi sur le Tribunal fédéral. Extension du pouvoir d’examen aux recours en matière pénale,Mar 01 2017,Annahme der Vorlage,Ablehnung der Vorlage
20130075,Loi sur le Tribunal fédéral. Extension du pouvoir d’examen aux recours en matière pénale,Mar 01 2017,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Schwander (Nichteintreten)
20130075,Loi sur le Tribunal fédéral. Extension du pouvoir d’examen aux recours en matière pénale,Mar 01 2017,Antrag der Mehrheit,Antrag der Minderheit Schwander (streichen)
20130075,Loi sur le Tribunal fédéral. Extension du pouvoir d’examen aux recours en matière pénale,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20130080,LAMal. Compensation des risques; séparation de l‘assurance de base et des assurances complémentaires,Dec 08 2015,Antrag der Mehrheit (Nichteintreten),Antrag der Minderheit Steiert (Eintreten)
20130094,CO. Protection en cas de signalement d’irrégularités par le travailleur,Jun 03 2019,Proposta della maggioranza = respingere il progetto,Proposta della minoranza Bregy = accogliere il progetto
20130094,CO. Protection en cas de signalement d’irrégularités par le travailleur,Jun 03 2019,Proposta della maggioranza (stralciare),Proposta della minoranza Bregy (secondo le nuove proposte del CF)
20130100,CO. Droit de la prescription,Mar 07 2018,Proposition de la majorité (=maintenir),Proposition de la minorité Nidegger (selon Conseil des Etats)
20130100,CO. Droit de la prescription,Jun 15 2018,Adopter le projet,Rejeter le projet
20130105,Convention internationale pour la protection de toutes les personnes contre les disparitions forcées. Approbation,Dec 18 2015,Annahme der Vorlage,Ablehnung der Vorlage
20130300,Pour une caisse-maladie unique et sociale,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Gysi / Feri Yvonne (Folge geben)
20130305,L'administration de la fortune des institutions de prévoyance,Dec 17 2015,Antrag der Mehrheit (= Keine Folge geben),Antrag der Minderheit Clottu (= Folge geben)
20130315,Modification de la LAMal,Mar 17 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Carobbio Guscetti (Folge geben)
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Dec 14 2018,Accettare il progetto,Respingere il progetto
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Sep 25 2018,Proposition de la majorité (selon projet de la commission),Proposition de la minorité Bauer (selon CF)
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Mar 17 2017,Antrag der Mehrheit (Frist verlängern),Antrag der Minderheit Nidegger (Abschreibung)
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Sep 25 2018,Proposition de la majorité (entrer en matière),Proposition de la minorité Nidegger (ne pas entrer en matière)
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Dec 03 2018,,
20130407,Lutter contre les discriminations basées sur l'orientation sexuelle,Sep 25 2018,Adopter le projet,Rejeter le projet
20130413,Mesures à renforcer contre l'abandon des déchets,Jun 16 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Müri (Nichteintreten)
20130414,Politique forestière 2020. Donner la priorité aux dessertes,May 30 2016,Antrag der Kommission (keine Folge geben),Antrag des Urhebers (Folge geben)
20130418,Egalité du partenariat enregistré et du mariage devant la procédure de naturalisation,Mar 14 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Amaudruz (Nichteintreten)
20130418,Egalité du partenariat enregistré et du mariage devant la procédure de naturalisation,Mar 14 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130418,Egalité du partenariat enregistré et du mariage devant la procédure de naturalisation,Mar 14 2016,Antrag der Mehrheit,Antrag der Minderheit II Barrile
20130426,Renouvellement tacite des contrats de services. Améliorer l'information et la protection des consommateurs et des consommatrices,Mar 22 2019,Proposta della maggioranza (stralciare dal ruolo l'iv. pa.),Proposta della minoranza Flach (non stralciare dal ruolo l'iv.pa. e prorogare il termine per elaborare un progetto fino alla sessione primaverile 2021)
20130429,Taxes d'études équitables dans les EPF,May 30 2016,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Clottu (Folge geben)
20130430,Responsabilité en cas de mise en liberté conditionnelle et de décision d'allègement de l'exécution d'une peine,Jun 16 2017,Antrag der Mehrheit (abschreiben),Antrag der Minderheit Rickli Natalie (nicht abschreiben)
20130443,Représentation équitable des communautés linguistiques au Conseil fédéral avec neuf membres,Sep 27 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Steinemann (Nichteintreten)
20130449,Déclaration de détention des animaux de rente et de production pour la viande et le poisson importés,Apr 27 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Gmür-Schönenberger (keine Folge geben)
20130454,Protection des personnes menacées de violence dans leur environnement social proche,Dec 01 2015,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Rickli Natalie (keine Folge geben)
20130455,Application de la loi sur la protection des eaux. Tenir compte de la réalité dans le terrain,Dec 01 2016,Antrag der Mehrheit (Folge geben),Antrag der Minderheit Jans (keine Folge geben)
20130462,"Internements. Dans le doute, pas de libération conditionnelle",Dec 01 2016,Antrag der Mehrheit (Folge geben) ,Antrag der Minderheit Mazzone (keine Folge geben)
20130468,Mariage civil pour tous,Jun 16 2017,Antrag der Mehrheit (Frist verlängern),Antrag der Minderheit Nidegger (abschreiben)
20130478,Introduire des allocations en cas d'adoption d'un enfant,Mar 22 2019,Proposta della maggioranza (stralciare dal ruolo l'iv. pa.) ,Proposta della minoranza Roduit (non stralciare dal ruolo l'iv.pa.)
20130479,Impôt anticipé. Clarification de la procédure de déclaration,Dec 07 2015,Antrag der Mehrheit,Antrag der Minderheit Leutenegger Oberholzer
20130479,Impôt anticipé. Clarification de la procédure de déclaration,Sep 22 2016,Antrag der Mehrheit,Antrag der Minderheit I Landolt
20130479,Impôt anticipé. Clarification de la procédure de déclaration,Sep 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20130479,Impôt anticipé. Clarification de la procédure de déclaration,Sep 22 2016,Antrag der Minderheit I Landolt,Antrag der Minderheit II Birrer-Heimo
20132064,Égalité entre le service civil et militaire,Mar 17 2017,Antrag der Mehrheit (keine Folge geben),Antrag der Minderheit Seiler Graf (Folge geben)
20133048,Contre la suppression de l'aide indirecte à la presse sans solution de remplacement convaincante,Jun 16 2016,Antrag der Mehrheit (Annahme der geänderten Motion),Antrag der Minderheit Rutz Gregor (Ablehnung der Motion)
20133367,Mesures visant à protéger les abeilles,Jun 12 2017,Antrag der Kommission (nicht abschreiben),Antrag des Bundesrates (abschreiben)
20133372,Plan d'action national pour la santé des abeilles,Jun 12 2017,Antrag der Mehrheit (abschreiben),Antrag der Minderheit Girod (nicht abschreiben)
20133955,Prix des médicaments. Comment dynamiser le marché des substances qui ne sont plus sous brevet et parvenir à des économies?,Mar 03 2016,Annahme des Postulates,Ablehnung des Postulats
20134037,Se dire oui pour la vie sans bureaucratie,Dec 14 2015,Annahme der Motion,Ablehnung der Motion
20134069,Scandale de l'espionnage par la NSA et d'autres services secrets étrangers,Dec 02 2015,Annahme des Postulates,Ablehnung des Postulats
20134271,Promotion du sport populaire. Création d'au moins trois centres nationaux de sports de neige,Dec 15 2015,Annahme der Motion,Ablehnung der Motion
20140015,"Loi sur la signature électronique, SCSE. Révision totale",Mar 18 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140015,"Loi sur la signature électronique, SCSE. Révision totale",Dec 17 2015,Annahme des Bundesgesetzes,Ablehnung des Bundesgesetzes
20140019,Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte). Initiative populaire et contre-projet indirect,Dec 18 2015,Annahme der Vorlage,Ablehnung der Vorlage
20140019,Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte). Initiative populaire et contre-projet indirect,Dec 01 2015,Antrag der Mehrheit (Empfehlung auf Ablehnung der Volksinitiative),Antrag der Minderheit Jans (Empfehlung auf Annanhme der Volksinitiative)
20140026,Pour un approvisionnement en électricité sûr et économique (Initiative efficacité électrique). Initiative populaire,Sep 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140026,Pour un approvisionnement en électricité sûr et économique (Initiative efficacité électrique). Initiative populaire,Mar 17 2016,Antrag der Mehrheit (Empfehlung auf Ablehnung der Volksinitiative),Antrag der Minderheit Jans (Empfehlung auf Annahme der Volksinitiative)
20140034,CC. Enregistrement de l’état civil et registre foncier,Apr 26 2016,Annahme der Vorlage,Ablehnung der Vorlage
20140034,CC. Enregistrement de l’état civil et registre foncier,Nov 28 2017,Proposition de la majorité,Proposition de la minorité Mazzone (selon CE) 
20140034,CC. Enregistrement de l’état civil et registre foncier,Dec 15 2017,Adopter le projet,Rejeter le projet
20140034,CC. Enregistrement de l’état civil et registre foncier,Jun 14 2016,Antrag der Mehrheit (=Rückweisung),Antrag der Minderheit Guhl (=keine Rückweisung)
20140039,Blocage et restitution des avoirs illicites de personnes politiquement exposées à l’étranger. Loi,Dec 18 2015,Annahme der Vorlage,Ablehnung der Vorlage
