Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,PartyAbbreviation,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath
FALSE,H. Roman,Abt,m,Argovie,AG,Conseil national,"Groupe des Paysans, Artisans et Bourgeois",BGB,"Paysans, Artisans et Bourgeois",PAB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
FALSE,Joseph,Ackermann,m,Fribourg,FR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/1/1947,12/2/1951,"Guin (FR),Plasselb (FR)",2/16/1901,5/4/1987
FALSE,Walter,Ackermann,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
FALSE,Walter,Ackermann,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
FALSE,Walter,Ackermann,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
FALSE,Alfred,Ackermann,m,Lucerne,LU,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,9/14/1953,6/1/1970,Entlebuch (LU),4/2/1907,12/12/1997
FALSE,Peter,Acklin,m,Argovie,AG,Conseil national,,,Conservateurs,Cons*,,,,,12/7/1863,12/2/1866,Herznach (AG),2/21/1821,12/2/1879
FALSE,Jakob Josef,Adam,m,Bâle-Campagne,BL,Conseil national,Gauche,LG,Parti radical-démocratique suisse,PRD,,,,,12/7/1863,6/1/1868,Allschwil (BL),2/12/1828,1/21/1888
FALSE,Jules-Henri,Addor,m,Vaud,VD,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/6/1943,11/30/1947,Vuiteboeuf (VD),9/21/1894,12/17/1953
TRUE,Jean-Luc,Addor,m,Valais,VS,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,marié(e),Lausanne,Vaud,Député au Grand Conseil: 2005-2015; Conseiller communal à Savièse: 2009-2015,11/30/2015,,"Ste-Croix (VD),Savièse (VS)",4/22/1964,
FALSE,Gustave,Ador,m,Genève,GE,Conseil fédéral,,,Parti libéral suisse,PLS,,,,,6/26/1917,12/31/1919,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Gustave,Ador,m,Genève,GE,Conseil des Etats,Centre,MC,Démocrates,Dém*,,,,,12/2/1878,9/1/1880,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Gustave,Ador,m,Genève,GE,Conseil national,,,Parti libéral suisse,PLS,,,,,3/25/1889,2/1/1902,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Gustave,Ador,m,Genève,GE,Conseil national,,,Parti libéral suisse,PLS,,,,,3/25/1889,2/1/1902,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Gustave,Ador,m,Genève,GE,Conseil national,,,Parti libéral suisse,PLS,,,,,10/1/1902,6/1/1917,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Gustave,Ador,m,Genève,GE,Conseil fédéral,,,Parti libéral suisse,PLS,,,,,1/1/1919,12/31/1919,"Vuiteboeuf (VD),Genève (GE)",12/23/1845,3/31/1928
FALSE,Ernst,Aebersold,m,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,12/1/1947,11/23/1958,Rubigen (BE),3/29/1887,11/23/1958
FALSE,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,marié(e),Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,12/3/2007,12/4/2011,Wynigen (BE),11/26/1958,
FALSE,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,marié(e),Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,12/5/2011,11/29/2015,Wynigen (BE),11/26/1958,
TRUE,Andreas,Aebi,m,Berne,BE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,marié(e),Burgdorf,Berne,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,11/30/2015,,Wynigen (BE),11/26/1958,
FALSE,Paul,Aebischer,m,Berne,BE,Conseil national,Groupe démocrate et évangélique,DE,Parti évangélique suisse,PEV,,,,,12/4/1967,2/27/1971,Guggisberg (BE),11/2/1908,2/27/1971
FALSE,Matthias,Aebischer,m,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Schwarzenburg,Berne,,12/5/2011,11/29/2015,Guggisberg (BE),10/18/1967,
FALSE,Max,Aebischer,m,Fribourg,FR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/3/1951,11/24/1969,"Saint-Ours (FR),Heitenried (FR)",1/2/1914,2/28/2009
TRUE,Matthias,Aebischer,m,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Schwarzenburg,Berne,,11/30/2015,,Guggisberg (BE),10/18/1967,
FALSE,Pierre,Aeby,m,Fribourg,FR,Conseil des Etats,Groupe socialiste,S,Parti socialiste suisse,PSS,,Berne,Berne,"1978 à 1981 exécutif communal, 1992 à en fonction exécutif cantonal",12/4/1995,12/5/1999,Guin (FR),2/14/1950,
FALSE,Paul,Aeby,m,Fribourg,FR,Conseil national,,,Conservateurs,Cons*,,,,,6/18/1883,7/18/1898,Fribourg (FR),11/13/1841,7/18/1898
FALSE,Paul,Aeby,m,Fribourg,FR,Conseil national,,,Conservateurs,Cons*,,,,,2/14/1881,10/1/1881,Fribourg (FR),11/13/1841,7/18/1898
FALSE,Pierre,Aeby,m,Fribourg,FR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/1/1931,11/30/1947,Fribourg (FR),5/6/1884,2/4/1957
FALSE,Pierre,Aeby,m,Fribourg,FR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/1/1931,11/30/1947,Fribourg (FR),5/6/1884,2/4/1957
FALSE,Pierre,Aeby,m,Fribourg,FR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/1/1931,11/30/1947,Fribourg (FR),5/6/1884,2/4/1957
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,7/1/1850,6/1/1851,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,12/1/1851,12/1/1852,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil national,Centre,MC,Libéral,Lib*,,,,,12/2/1872,5/1/1883,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil national,Centre,MC,Libéral,Lib*,,,,,12/2/1872,5/1/1883,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil national,Centre,MC,Libéral,Lib*,,,,,12/2/1872,5/1/1883,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,7/4/1853,12/1/1853,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,7/3/1865,6/1/1872,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,7/3/1865,6/1/1872,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,7/3/1865,6/1/1872,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,12/7/1857,6/1/1864,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,Arnold Otto,Aepli,m,St-Gall,SG,Conseil des Etats,Centre,MC,Libéral,Lib*,,,,,4/16/1849,11/1/1849,"St-Gall (SG),Diessenhofen (TG)",8/22/1816,12/4/1897
FALSE,A. Otto,Aepli,m,Thurgovie,TG,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,1/27/1919,11/4/1921,"St-Gall (SG),Diessenhofen (TG)",4/18/1870,11/4/1921
FALSE,Regine,Aeppli Wartmann,f,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Winterthur,Zurich,Kantonsrätin von 1987 bis 1996,12/4/1995,11/30/2003,"Zurich (ZH),Stäfa (ZH),Bauma (ZH)",10/5/1952,
FALSE,Adolf,Aeschbach,m,Argovie,AG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,12/6/1943,12/6/1959,Burg (AG),10/8/1888,3/19/1969
FALSE,Ruedi,Aeschbacher,m,Zurich,ZH,Conseil national,Groupe évangélique et indépendant,E,Parti évangélique suisse,PEV,,St. Gall,St-Gall,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/6/1999,11/30/2003,"Zurich (ZH),Trachselwald (BE)",9/15/1941,
FALSE,Ruedi,Aeschbacher,m,Zurich,ZH,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti évangélique suisse,PEV,,St. Gall,St-Gall,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/3/2007,5/30/2010,"Zurich (ZH),Trachselwald (BE)",9/15/1941,
FALSE,Ruedi,Aeschbacher,m,Zurich,ZH,Conseil national,Groupe PEV/UDF,E,Parti évangélique suisse,PEV,,St. Gall,St-Gall,"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000",12/1/2003,12/2/2007,"Zurich (ZH),Trachselwald (BE)",9/15/1941,
FALSE,Ferdinand,Aeschbacher,m,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,12/4/1939,12/1/1940,Rüderswil (BE),11/11/1893,1/7/1950
FALSE,Thomas,Aeschi,m,Zoug,ZG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,,Zoug,Zoug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,12/5/2011,11/29/2015,"Himmelried (SO),Baar (ZG),Bâle (BS)",1/13/1979,
TRUE,Thomas,Aeschi,m,Zoug,ZG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,,Zoug,Zoug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,11/30/2015,,"Himmelried (SO),Baar (ZG),Bâle (BS)",1/13/1979,
TRUE,Thomas,Aeschi,m,Zoug,ZG,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,,Zoug,Zoug,Legislative des Kantons (Kantonsrat): von 2010 bis 2012,11/30/2015,,"Himmelried (SO),Baar (ZG),Bâle (BS)",1/13/1979,
FALSE,Hans,Affolter,m,Soleure,SO,Conseil national,,,Parti socialiste suisse,PSS,,,,,12/4/1911,12/11/1930,"Soleure (SO),Niedergerlafingen (SO)",10/2/1870,9/28/1936
FALSE,Amanz Kaspar,Affolter,m,Soleure,SO,Conseil des Etats,,,Parti radical-démocratique suisse,PRD,,,,,7/7/1856,9/28/1861,Niedergerlafingen (SO),6/10/1825,9/28/1861
FALSE,Max,Affolter,m,Soleure,SO,Conseil des Etats,Groupe radical-libéral,R,Parti radical-démocratique suisse,PRD,,,,,11/26/1979,3/1/1991,"Gerlafingen (SO),Olten (SO)",12/30/1923,3/8/1991
FALSE,Alfred,Affolter,m,Zurich,ZH,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,11/26/1979,11/27/1983,Leuzigen (BE),5/24/1941,
FALSE,Emilio,Agostinetti,m,Tessin,TI,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,12/1/1947,12/1/1966,Gerra (Gambarogno) (TI),2/27/1912,8/4/1983
FALSE,Pierre,Aguet,m,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Pompaples,Vaud,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",12/4/1995,12/5/1999,"Sullens (VD),Lutry (VD)",3/2/1938,
FALSE,Pierre,Aguet,m,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Pompaples,Vaud,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987",11/30/1987,12/3/1995,"Sullens (VD),Lutry (VD)",3/2/1938,
FALSE,Mario,Agustoni,m,Tessin,TI,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/6/1943,11/30/1947,Monte (TI),1/3/1902,10/28/1982
FALSE,Mario,Agustoni,m,Tessin,TI,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1963,2/8/1965,Monte (TI),1/3/1902,10/28/1982
FALSE,Giovanni,Airoldi,m,Tessin,TI,Conseil des Etats,Centre,MC,Partito dei Popolini poi Fusionisti,PdP->Fusio,,,,,7/5/1852,2/1/1853,Lugano (TI),1/23/1823,8/3/1894
FALSE,Giovanni,Airoldi,m,Tessin,TI,Conseil des Etats,Centre,MC,Partito dei Popolini poi Fusionisti,PdP->Fusio,,,,,7/5/1869,1/1/1874,Lugano (TI),1/23/1823,8/3/1894
FALSE,Erwin,Akeret,m,Zurich,ZH,Conseil national,"Groupe des Paysans, Artisans et Bourgeois",BGB,"Paysans, Artisans et Bourgeois",PAB,,,,,12/5/1955,11/27/1983,"Andelfingen (ZH),Nussbaumen (AG)",1/8/1915,9/12/1987
FALSE,Jakob,Albrecht,m,Thurgovie,TG,Conseil des Etats,Gauche,LG,Libéral,Lib*,,,,,12/1/1851,6/1/1855,Müllheim (TG),2/24/1806,7/8/1855
FALSE,H. Jakob,Albrecht,m,Zurich,ZH,Conseil national,Centre,MC,Libéral,Lib*,,,,,1/1/1873,11/1/1874,Stadel (ZH),9/17/1825,6/25/1876
FALSE,Luigi,Albrecht,m,Grisons,GR,Conseil national,Groupe conservateur-catholique,K,Conservateurs,Cons*,,,,,12/6/1943,1/24/1955,"Somvix (GR),Lax (VS)",10/24/1889,1/24/1955
FALSE,August,Albrecht,m,Nidwald,NW,Conseil national,Groupe conservateur-catholique sociale,K,Parti conservateur chrétien-social,CCS,,,,,12/4/1967,11/25/1979,Mels (SG),11/16/1907,4/12/1988
FALSE,Hans,Albrecht,m,St-Gall,SG,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,6/3/1952,12/6/1959,Mels (SG),10/2/1909,10/20/1995
FALSE,Prospero,Albrici,m,Grisons,GR,Conseil des Etats,,,Parti radical-démocratique suisse,PRD,,,,,7/7/1873,7/1/1874,Poschiavo (GR),3/18/1822,12/14/1883
FALSE,Claudius,Alder,m,Bâle-Campagne,BL,Conseil national,Groupe indépendant,U,Alliance des Indépendants,AdI,,,,,11/29/1971,11/27/1983,"Schönengrund (AR),Ziefen (BL)",3/28/1938,
FALSE,Fredi,Alder,m,St-Gall,SG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Winterthur,Zurich,Kantonsrat seit 1988,12/4/1995,12/5/1999,Winterthur (ZH),4/14/1943,
FALSE,Peter,Aliesch,m,Grisons,GR,Conseil national,Groupe radical-libéral,R,Parti radical-démocratique suisse,PRD,,,,,11/28/1983,12/31/1990,"Fanas (GR),Chur (GR)",11/26/1946,
FALSE,Werner,Allemann,m,Argovie,AG,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,9/18/1944,12/1/1963,Farnern (BE),7/25/1902,8/23/1972
FALSE,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/3/2007,12/4/2011,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
FALSE,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/5/2011,11/29/2015,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
FALSE,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,11/30/2015,5/28/2018,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
FALSE,Evi,Allemann,f,Berne,BE,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Berne,Berne,Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003,12/1/2003,12/2/2007,"Köniz (BE),Welschenrohr (SO)",7/16/1978,
FALSE,Heinz,Allenspach,m,Zurich,ZH,Conseil national,Groupe radical-libéral,R,Parti radical-démocratique suisse,PRD,,,,,11/26/1979,12/3/1995,"Kreuzlingen (TG),Fällanden (ZH)",2/22/1928,
FALSE,Alexis,Allet,m,Valais,VS,Conseil national,,,Conservateurs,Cons*,,,,,12/1/1851,12/1/1872,Loèche-La-Ville (VS),4/9/1820,2/1/1888
FALSE,Werner,Allgöwer,m,Lucerne,LU,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,,,,6/5/1950,12/4/1955,"St-Gall (SG),Lucerne (LU)",3/24/1879,2/21/1966
FALSE,Walter,Allgöwer,m,Bâle-Ville,BS,Conseil national,Groupe indépendant,U,Alliance des Indépendants,AdI,,,,,12/2/1963,11/25/1979,St-Gall (SG),8/18/1912,4/16/1980
FALSE,Alexandre Félix,Alméras,m,Genève,GE,Conseil des Etats,,,Parti radical-démocratique suisse,PRD,,,,,1/9/1860,12/1/1862,Genève (GE),1/29/1811,12/11/1868
FALSE,Alexandre Félix,Alméras,m,Genève,GE,Conseil national,,,Parti radical-démocratique suisse,PRD,,,,,11/6/1848,12/3/1854,Genève (GE),1/29/1811,12/11/1868
FALSE,Hermann,Altherr,m,Appenzell Rh.-Ext.,AR,Conseil national,,,Parti radical-démocratique suisse,PRD,,,,,6/5/1905,12/3/1911,Speicher (AR),2/28/1848,11/4/1927
FALSE,Hans,Altherr,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe radical-libéral,RL,Parti radical-démocratique suisse,PRD,,St. Gall,St-Gall,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),3/8/2004,12/2/2007,Trogen (AR),4/29/1950,
FALSE,Hans,Altherr,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe libéral-radical,RL,PLR.Les Libéraux-Radicaux,PLR,,St. Gall,St-Gall,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),12/5/2011,11/29/2015,Trogen (AR),4/29/1950,
FALSE,Hans,Altherr,m,Appenzell Rh.-Ext.,AR,Conseil des Etats,Groupe radical-libéral,RL,Parti radical-démocratique suisse,PRD,,St. Gall,St-Gall,Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003),12/3/2007,12/4/2011,Trogen (AR),4/29/1950,
FALSE,Gustav,Altherr,m,Appenzell Rh.-Ext.,AR,Conseil national,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,6/1/1931,12/1/1935,Speicher (AR),8/28/1870,7/18/1954
FALSE,Johannes,Altwegg,m,Thurgovie,TG,Conseil des Etats,,,Parti radical-démocratique suisse,PRD,,,,,11/29/1880,11/17/1888,"Herrenhof (TG),Frauenfeld (TG)",11/21/1847,11/17/1888
FALSE,Paul,Altwegg,m,Thurgovie,TG,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
FALSE,Paul,Altwegg,m,Thurgovie,TG,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
FALSE,Paul,Altwegg,m,Thurgovie,TG,Conseil des Etats,Groupe radical-démocratique,R,Parti radical-démocratique suisse,PRD,,,,,12/2/1935,12/2/1951,"Herrenhof (TG),Frauenfeld (TG)",3/9/1884,7/3/1952
FALSE,Antoine-Joseph,Amacker,m,Valais,VS,Conseil des Etats,Centre,MC,,,,,,,6/9/1857,5/1/1859,St-Maurice (VS),7/3/1794,3/17/1862
FALSE,Kathrin,Amacker-Amann,f,Bâle-Campagne,BL,Conseil national,Groupe PDC/PEV/PVL,CEg,Parti démocrate-chrétien suisse,PDC,,Bâle,Bâle-Ville,Legislative der Gemeinde: Einwohnerrat Binningen seit Juli 2004; Legislative des Kantons: Landrat von Juli 2007 bis November 2007,12/3/2007,11/28/2010,"Bâle (BS),Eischoll (VS)",3/30/1962,
FALSE,Cesla,Amarelle,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,12/5/2011,11/29/2015,"Winterthur (ZH),Yverdon-les-Bains (VD)",9/14/1973,
FALSE,Cesla,Amarelle,f,Vaud,VD,Conseil national,Groupe socialiste,S,Parti socialiste suisse,PSS,,Montevideo,,Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011,11/30/2015,6/14/2017,"Winterthur (ZH),Yverdon-les-Bains (VD)",9/14/1973,
FALSE,Céline,Amaudruz,f,Genève,GE,Conseil national,Groupe de l'Union démocratique du Centre,V,Union Démocratique du Centre,UDC,,Genève,Genève,Organe législatif cantonal: depuis octobre 2009 jusqu'à octobre 2011; Organe législatif de la commune de Puplinge: depuis mars 2011 jusqu'à mars 2015,12/5/2011,11/29/2015,Lutry (VD),3/15/1979,
